# 
# cfe-sb-stats-tlm.txt
# 
# This file should have the following comma delimited fields:
#   1. Data item description
#   2. Offset of data item in packet
#   3. Length of data item
#   4. Python data type of item ( using python struct library )
#   5. Display type of item ( Currently Dec, Hex, Str, Enm ) 
#   6. Display string for enumerated value 0 ( or NULL if none ) 
#   7. Display string for enumerated value 1 ( or NULL if none ) 
#   8. Display string for enumerated value 2 ( or NULL if none ) 
#   9. Display string for enumerated value 3 ( or NULL if none ) 
# 
#  Note(1): A line that begins with # is a comment
#  Note(2): Remove any blank lines from the end of the file
#
13:  Pipe ID,           174,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
13:  Depth,             176,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
13:  In Use,            178,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
13:  Peak In Use,       180,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
14:  Pipe ID,           182,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
14:  Depth,             184,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
14:  In Use,            186,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
14:  Peak In Use,       188,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
15:  Pipe ID,           190,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
15:  Depth,             192,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
15:  In Use,            194,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
15:  Peak In Use,       196,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
16:  Pipe ID,           198,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
16:  Depth,             200,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
16:  In Use,            202,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
16:  Peak In Use,       204,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
17:  Pipe ID,           206,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
17:  Depth,             208,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
17:  In Use,            210,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
17:  Peak In Use,       212,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
18:  Pipe ID,           214,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
18:  Depth,             216,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
18:  In Use,            218,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
18:  Peak In Use,       220,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
19:  Pipe ID,           222,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
19:  Depth,             224,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
19:  In Use,            226,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
19:  Peak In Use,       228,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
20:  Pipe ID,           230,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
20:  Depth,             232,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
20:  In Use,            234,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
20:  Peak In Use,       236,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
21:  Pipe ID,           238,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
21:  Depth,             240,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
21:  In Use,            242,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
21:  Peak In Use,       244,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
22:  Pipe ID,           246,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
22:  Depth,             248,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
22:  In Use,            250,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
22:  Peak In Use,       252,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
23:  Pipe ID,           254,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
23:  Depth,             256,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
23:  In Use,            258,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
23:  Peak In Use,       260,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
24:  Pipe ID,           262,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
24:  Depth,             264,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
24:  In Use,            266,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
24:  Peak In Use,       268,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
25:  Pipe ID,           270,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
25:  Depth,             272,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
25:  In Use,            274,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
